sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act
500227059,YouBike2.0_台灣科技總部,11,5,新店區,2.02112E+13,24.97344,121.54905,寶興路47號西側,Xindian Dist,YouBike2.0_Taiwan Technology Headquarter,"No. 47, Baoxing Rd.(West)",6,1
500229012,YouBike2.0_捷運新莊副都心站,10,1,新莊區,2.02112E+13,25.05914,121.4466,新北大道四段/中信街口(西南側),Xinzhuang Dist,YouBike2.0_MRT Xinzhuang Fuduxin Sta.,"Sec. 4, New Taipei Blvd./Zhongxin St., Xinzhuang Dist.",9,1
500229015,YouBike2.0_捷運新北產業園區站,8,2,新莊區,2.02112E+13,25.06203,121.45918,新莊區五工路55號,Xinzhuang Dist,YouBike2.0_MRT New Taipei Industrial Park Sta.,"No.55, Wugong Rd., Xinzhuang Dist.",6,1
500229063,YouBike2.0_塭仔底濕地公園,15,4,新莊區,2.02112E+13,25.05635,121.45438,昌平街200號(對面),Xinzhuang Dist,YouBike2.0_wenzidi Wetland Park,"No. 200, Changping St. (Opposite)",11,1
500223031,YouBike2.0_新市三義山路口,20,4,淡水區,2.02112E+13,25.19569,121.4366,新市三路二段217號(前),Tamsui Dist,YouBike2.0_Xinshi san Yishan Rd. Intersection,"No. 217, Section 2, Xinshisan Rd.(Front)",16,1
500223033,YouBike2.0_水碓立體停車場,15,9,淡水區,2.02112E+13,25.17865,121.44423,中山北路一段189號(旁),Tamsui Dist,YouBike2.0_shui dui Multistorey Car Park,"No. 189, Sec. 1, Zhongshan N. Rd.",6,1
500231029,YouBike2.0_學成大義路口,8,0,樹林區,2.02112E+13,24.9453,121.37838,大義路182號,Shulin Dist,YouBike2.0_Xuecheng & Dayi Intersection,"No. 182, Dayi Rd.",8,1
500218110,YouBike2.0_新崑公園,30,9,板橋區,2.02112E+13,24.99968,121.43249,新崑路/豐盛一街(東南側),Banqiao Dist,YouBike2.0_Xinkun Park,Xinkun Rd & Fengsheng 1 St(Southeast),21,1
500231032,YouBike2.0_俊英街219巷口,17,4,樹林區,2.02112E+13,25.01294,121.42365,俊英街/俊英街219巷口,Shulin Dist,"YouBike2.0_Lane 219, Junying St.","Junying St. & Lane 219, Junying St.",13,1
500231014,YouBike2.0_大安路307巷口,8,2,樹林區,2.02112E+13,24.99216,121.41772,大安路與大安路307巷口,Shulin Dist,YouBike2.0_Ln. 307 Daan & Daan Intersection,"Ln. 307 Daan & Daan Intersection, Shulin Dist.",6,1
500209020,YouBike2.0_五股郵局,11,5,五股區,2.02112E+13,25.10165,121.45098,凌雲路一段80巷9號(對面人行道),Wugu Dist,YouBike2.0_Wugu Post Office,"No. 9, Ln 80, Sec 1, Lingyun Rd, Wugu District",6,1
500229056,YouBike2.0_福基公園,7,5,新莊區,2.02112E+13,25.05816,121.46086,福美街128巷12號(對面),Xinzhuang Dist,YouBike2.0_Fuji Park,"No.12, Ln. 128, Fumei St., Xinzhuang Dist.",2,1
500229011,YouBike2.0_宏匯廣場,10,0,新莊區,2.02112E+13,25.05931,121.44908,中央路558號(旁),Xinzhuang Dist,YouBike2.0_Honhui Plaza,"No.558, Zhongyang Rd. (Side)",10,1
500231025,YouBike2.0_大同國小,10,3,樹林區,2.02112E+13,24.98114,121.41683,大元街2巷11號西北側,Shulin Dist,YouBike2.0_Datong Elementary School,"No. 11, Ln. 2, Dayuan St.(Northwest)",7,1
500231039,YouBike2.0_樹林區衛生所,7,3,樹林區,2.02112E+13,24.98379,121.41503,中山路二段80號(對面),Shulin Dist,YouBike2.0_Shulin District Public Health Center,"No.80, Sec. 2, Zhongshan Rd.(opposite)",4,1
500231040,YouBike2.0_億光電子(樹林高中),10,4,樹林區,2.02112E+13,24.98356,121.4236,中華路與樹中二街口,Shulin Dist,"YouBike2.0_Everlight Electronics Co.,Ltd (Shulin Senior High School)",Zhonghua Rd./Shuzhong 2nd St.(oppsite),6,1
500231038,YouBike2.0_樹林大安活動中心,9,2,樹林區,2.02112E+13,24.98636,121.41489,復興路372巷24號,Shulin Dist,YouBike2.0_Shulin Da'an Activity Center,"No. 24, Ln. 372, Fuxing Rd.",7,1
500205024,YouBike2.0_大智中山路口,20,1,三峽區,2.02112E+13,24.93782,121.36084,大智路25號(前),Sanxia Dist,YouBike2.0_Dazhi Wenhua Rd.Intersection,"No.25, Dazhi Rd.",19,1
500229049,YouBike2.0_捷運迴龍站(3號出口),13,5,新莊區,2.02112E+13,25.02276,121.41305,中正路758號(捷運迴龍站3號出口外自行車停放區),Xinzhuang Dist,YouBike2.0_MRT Huilong Sta.(Exit 3),"No.758, Zhongzheng Rd.",8,1
500231011,YouBike2.0_樹林藝文綜合行政大樓,10,1,樹林區,2.02112E+13,24.99602,121.42949,保安街一段14巷53號對側,Shulin Dist,YouBike2.0_Shulin Art & Administrative Center,"No. 53, Ln. 14, Sec.1, Bao'an St., Shulin Dist.(opposite)",9,1
500231012,YouBike2.0_民生親子公園,6,1,樹林區,2.02112E+13,24.99298,121.42819,保安街一段與14巷口,Shulin Dist,YouBike2.0_Minsheng Parent-child Park,"No.1, Ln. 14, Sec. 1, Bao’an St., Shulin Dist",5,1
500218113,YouBike2.0_三民翠華街口,10,4,板橋區,2.02112E+13,25.02317,121.48024,三民路一段31巷/翠華街口(東南側),Banqiao Dist,YouBike2.0_Sanmin Cuihua St.Intersection,"Lane 31, Section 1, Sanmin Rd. Cuihua St. (Southeast)",6,1
500203068,YouBike2.0_三重棒球場,10,6,三重區,2.02112E+13,25.0613,121.4815,新北大道一段157號(對面),Sanchong Dist,YouBike2.0_Sanchong Baseball Court,"No. 157, New Taipei Blvd.(Opposite)",4,1
500203069,YouBike2.0_溪尾街196巷/仁美街口,18,9,三重區,2.02112E+13,25.0802,121.48587,溪尾街196巷38號(旁),Sanchong Dist,"YouBike2.0_Ln. 196, Xiwei St. & Renmei St. Intersection","No. 38, Ln. 196, Xiwei St.",9,1
500203070,YouBike2.0_六張公園,12,7,三重區,2.02112E+13,25.06966,121.49405,民生東街/安慶街149巷(西北側),Sanchong Dist,YouBike2.0_Liuzhang Park,"No.21, Ln. 149, Anqing St.(oppsite)",5,1
500205025,YouBike2.0_明德高中,15,5,三峽區,2.02112E+13,24.90742,121.36472,中正路二段399號(西北側),Sanxia Dist,YouBike2.0_Mingde High School,"No. 399, Sec. 2, Zhongzheng Rd.(Northwest)",10,1
500229013,YouBike2.0_行政院新莊聯合辦公大樓,12,1,新莊區,2.02112E+13,25.05595,121.44443,榮華路二段/中平路口(西北側),Xinzhuang Dist,"YouBike2.0_Xinzhuang Joint Office Tower, Executive Yuan","Zhongping Rd./ Sec. 2, Ronghua Rd. intersection",11,1
500229014,YouBike2.0_中信國小,18,4,新莊區,2.02112E+13,25.05572,121.44954,榮華路二段/中富街口(西北側),Xinzhuang Dist,YouBike2.0_Zhongxin Elementary School,"Sec. 2, Ronghua Rd./Zhongfu St., Xinzhuang Dist.",14,1
500234018,YouBike2.0_二橋虹橋公園,10,5,鶯歌區,2.02112E+13,24.93453,121.32595,中正三路400號(對面),Yingge Dist,YouBike2.0_Erqiaoshiguanghongqiao Park,"No. 400, Zhongzheng 3rd Rd.(Opposite)",5,1
500229016,YouBike2.0_新莊文化藝術中心,12,3,新莊區,2.02112E+13,25.04714,121.4445,中平路 133 號前,Xinzhuang Dist,YouBike2.0_Xinzhuang Culture and Arts Center,"No.133, Zhongping Rd.",9,1
500206043,YouBike2.0_清水高中,5,2,土城區,2.02112E+13,24.982,121.46547,明德路一段72號前(公車站清水高中站旁),Tucheng Dist,YouBike2.0_Qing Shui Senior High School,"No.72, Sec. 1, Mingde Rd.",3,1
500207054,YouBike2.0_秀山國小,7,2,中和區,2.02112E+13,24.99612,121.52192,更生街19號對面(南側),Zhonghe Dist,YouBike2.0_Xiushan Elementary School,Gengsheng St./Zili Rd.,5,1
500206020,YouBike2.0_土城國中,14,5,土城區,2.02112E+13,24.96243,121.43037,永寧路18號(對面),Tucheng Dist,YouBike2.0_Tucheng Junior High School,"No.18, Yongning Rd., Tucheng Dist.",9,1
500206023,YouBike2.0_頂埔國小,17,1,土城區,2.02112E+13,24.95636,121.4144,中央路四段205號(頂埔國小校門口)(鄰近土城親子分館),Tucheng Dist,YouBike2.0_Dingpu Elementary School,"No.205, Sec. 4, Zhongyang Rd.",16,1
500206024,YouBike2.0_頂新祖田市民活動中心,14,2,土城區,2.02112E+13,24.95319,121.41211,中央路四段285號,Tucheng Dist,YouBike2.0_Dingxin-Zutian Civic Activity Center,"No.285, Sec. 4, Zhongyang Rd.",12,1
500206039,YouBike2.0_青山廣場,7,3,土城區,2.02112E+13,24.97793,121.45987,明德路一段240巷1-1號前(東側),Tucheng Dist,YouBike2.0_Qingshan Square,"No.1-1, Ln. 240, Sec. 1, Mingde Rd.",4,1
500203071,YouBike2.0_自然公園,7,3,三重區,2.02112E+13,25.08984,121.48799,集賢路158號(旁),Sanchong Dist,YouBike2.0_Natural Park,Ruyi St./Jixian Rd.,3,1
